3,2,20
0.1,0.1
0.05,-0.02,0.01
0.050,0.030,0.001,-0.001,0.0005
0.045,0.027,0.002,-0.002,0.0010
0.040,0.024,0.003,-0.003,0.0015
0.035,0.021,0.004,-0.004,0.0020
0.030,0.018,0.005,-0.005,0.0025
0.025,0.015,0.006,-0.006,0.0030
0.020,0.012,0.007,-0.007,0.0035
0.015,0.009,0.008,-0.008,0.0040
0.010,0.006,0.009,-0.009,0.0045
0.005,0.003,0.010,-0.010,0.0050
0.000,0.000,0.011,-0.011,0.0055
-0.005,-0.003,0.012,-0.012,0.0060
-0.010,-0.006,0.013,-0.013,0.0065
-0.015,-0.009,0.014,-0.014,0.0070
-0.020,-0.012,0.015,-0.015,0.0075
-0.025,-0.015,0.016,-0.016,0.0080
-0.030,-0.018,0.017,-0.017,0.0085
-0.035,-0.021,0.018,-0.018,0.0090
-0.040,-0.024,0.019,-0.019,0.0095
-0.045,-0.027,0.020,-0.020,0.0100
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
